USER_WIN	USER_WEB	ELN	ILN	USER_NAME
6181		0101	0001	Leipzig DNB
6183		0101	0001	Leipzig DNB, Medea
6182		0292	0002	Frankfurt/M DNB
6188		0292	0002	Frankfurt/M DNB, Medea
6204		3000	0003	Berlin DNB Musikarchiv
6298		2069	0002	DNB EXILARCHIV FRANKFURT/M
6299		2070	0001	DNB EXILARCHIV LEIPZIG
6005		6666	0006	IIE3
6001		9001	0010	ZR Titel
6176		9001	0010	ZR Titel Sonderkorrekturen
6096		9001	0010	ZR KATALOG
6004		9002	0010	ZR GKD SBB
sbbzrgkdfe1		90020010	0010	BERLIN SBB ZR GKD FE1
6007		9003	0010	ZR GKD DNB Frankfurt
6008		9004	0010	ZR GKD BSB
6150		9005	0010	ZR GKD Österreich
6099		9006	0010	ZR BIB
6003		9007	0010	ZDB SBB
6096		9001	0001	DOAJ
6098		9018	0010	ZDB-Lese-Kennung
6151		9019	0010	ZR GKD Leipzig
6184		9020	0010	ZR GKD DMA
6187		9021	0010	ZR  Österreich
6206		9022	0010	ZR Titel Sonderkorrekturen
6225		9023	0010	OrgKat
6227		9024	0010	VD18
6208		9025	0010	BERLIN SYSTEMBETREUUNG
6220		9026	0010	Konstanz BSZ, Sacherschl. SWB
6901		9040	0010	Adressredaktion GBV
6902		9041	0010	Adressredaktion KOBV
6903		9042	0010	Adressredaktion HBZ
6904		9043	0010	Adressredaktion HEBIS
6905		9044	0010	Adressredaktion BSZ
6906		9045	0010	Adressredaktion BVB
6907		9047	0010	Adressredaktion GBV LV-Zentralen
6261		9050	0010	GND-Red. Verbreitungsort Zeitungen
6006	6006w	0001	0011	Berlin SBB
6072		0001	0011	Berlin SBB Haus 1
6360		2103	0431	Berlin SBB Ostasien Titel
6076		0003	0012	Halle UuLB
6131		0004	0013	Marburg UB
6037	6037w	0005	0014	Bonn UuLB
6025		0006	0015	Münster UuLB
6066		0007	0016	Göttingen SUuB (SBB)
6068		0007	0016	Göttingen SUuB (SuUB)
8039		0007	0016	Göttingen SUB (Projekte)
6071		0008	0017	Kiel UB
6075		0009	0018	Greifswald UB
6073		0011	0019	Berlin UB HU
6115	6115w	0012	0020	München BSB
6203		0012	0020	München BSB Konversionsprojekt
6079		0014	0021	Dresden SLUB
6082		0015	0022	Leipzig UB
6048	6048w	0016	0023	Heidelberg UB
6193		0016	0023	Heidelberg UB (nur Bestand)
6135		0017	0024	Darmstadt ULB
6064		0018	0025	Hamburg SUB
6116	6116w	0019	0026	München UB
6120	6120w	0020	0027	Würzburg UB
6056		0021	0028	Tübingen UB
6127		0023	0029	Wolfenbüttel HAugB
6050	6050w	0024	0030	Stuttgart Württ. LB
6062		0025	0031	Freiburg UB
6089		0025	0031	Freiburg UB (nur Bestand)
6137		0026	0032	Giessen UB
6078		0027	0033	Jena UuLB
6074		0028	0034	Rostock UB
6114	6114w	0029	0035	Erlangen UB
6133		0030	0036	Frankfurt/M StuUB
6058		0031	0037	Karlsruhe Badische LB
6145		0032	0038	Weimar HAAB
6143		0033	0039	Schwerin LBMV
6132		0034	0040	Kassel GHB
6123	6123w	0035	0041	Hannover LB
6140	6140w	0036	0042	Mainz StBi (hebis)
	6366w	0036	0042	Mainz StBi (SWB)
6030	6030w	0038	0043	Köln UuSTB
6136		0043	0044	Wiesbaden LB
6122		0045	0045	Oldenburg LB
6018	6018w	0046	0046	Bremen SuUB
6196		0046	0046	Bremerhaven Schiffahrtsmuseum
6022		0061	0047	Düsseldorf UuLB
6138		0066	0048	Fulda HLB
6139		0077	0049	Mainz UB (hebis)
	6139w	0077	0049	Mainz UB WebCat  (hebis)
	6357w	0077	0049	Mainz UB WebCat (SWB)
	6375w	0077	0049	Worms StBi
6036		0082	0050	Aachen BTH
6010		0083	0051	Berlin UB TU
6021		0084	0052	Braunschweig UB TU
6019		0089	0054	Hannover Technische Informationsbibliothek (TIB)
6059	6059w	0090	0055	Karlsruhe KIT-Bibliothek Süd
6117	6117w	0091	0056	München TU
6052		0093	0057	Stuttgart UB
6097		0093	0057	Stuttgart UB (lesend)
6020		0095	0058	Hannover TierHS
6053		0100	0059	Stuttgart UB Hohenheim
6126		0104	0060	Clausthal-Zellerfeld UB (nur Bestand)
6084		0105	0061	Freiberg TU BA
6045		0107	0062	Speyer Pfälz. LB
6013	6013w	0109	0063	Berlin ZLB
6047	6047w	0180	0064	Mannheim UB
6011	6011w	0188	0065	Berlin UB FU
6009		0204	0066	Berlin IAI
6017		0206	0067	Kiel ZBW
6331		3003	0405	Kiel ZBW Leitb.
6054	6054w	0212	0068	Stuttgart Inst. Auslandsbez.
6043	6043w	0282	0069	Wiesbaden Stat. BA
6063		0289	0070	Ulm UB
6027		0290	0071	Dortmund UB
6044	6044w	0291	0072	Saarbrücken UuLB
6192		0291	0072	Saarbrücken UuLB (nur Bestand)
6026		0294	0073	Bochum UB
6061		0352	0074	Konstanz UB
6088	6088w	0352	0074	Konstanz UB (nur Bestand)
6119	6119w	0355	0075	Regensburg UB
	6333w	0355	0075	Regensburg UB (EZB, Lesekennung)
6029		0361	0076	Bielefeld UB
6110	6110w	0384	0077	Augsburg UB
6039	6039w	0385	0078	Trier UB
6046	6046w	0386	0079	Kaiserslautern UB
6024		0465	0081	DUISBURG-ESSEN UB
6028		0466	0082	Paderborn UB
6042		0467	0083	Siegen UB
6040		0468	0084	Wuppertal UB
6111	6111w	0473	0085	Bamberg UB
6103		0517	0086	Potsdam UB
6101	6101w	0521	0087	Frankfurt/O UB
6144		0547	0088	Erfurt UB
6128		0700	0089	Osnabrück UB
6112		0703	0090	Bayreuth UB
6065		0705	0091	Hamburg UniBW
6041		0708	0092	Hagen FernUB
6109		0715	0093	Oldenburg UB
	8041w	0715	0093	Oldenburg Inst.Kult.östl.Europ
6118	6118w	0739	0094	Passau UB
6113	6113w	0824	0095	Eichstätt UB
6106		0830	0096	Hamburg TU
6033		0832	0097	Köln FHB
6051		0929	0098	Koblenz Rheinische LB
6218		0929	0098	Koblenz Rheinische LB (nur Bestand)
6069		1994	0099	Weitere Bibliotheken Ausland
6002		1995	0100	Weitere Bibliotheken 1
6104		1995	0100	Weitere Bibliotheken 1
6080		1996	0101	Weitere Bibliotheken 2
6105		1996	0101	Weitere Bibliotheken 2
6016		1999	0102	Berliner Gesamtkatalog
6190	6190w	1999	0102	Berliner Gesamtkatalog (nur Bestand)
6108		2999	0103	Hamburg Zentrale
6125	6125w	3090	0104	Hildesheim UB
6077		3100	0105	Magdeburg UB
6124		3110	0106	Lüneburg UB
6038		3238	0107	Bonn Friedrich-Ebert-Stiftung
6083		3349	0108	Chemnitz UB
6085		3400	0109	Ilmenau UB
6107		3501	0067	Hamburg ZBW
6129	6129w	3999	0111	Göttingen Zentrale
6031		4002	0112	Köln ZBMedizin
6012		4011	0113	Berlin Kunstbibliothek
6014		4012	0114	Berlin Biol.Bundesanst.
6015		4013	0115	Berlin Senatsbibliothek
6032		4014	0116	Köln SportHs ZB
6034		4015	0117	Köln Erzbischöf. B.
6055		4017	0119	Stuttgart PH Bibl. BAW
6057		4018	0120	Tübingen UB / Neuphil.
6060		4019	0121	Karlsruhe ForschungsZ
	6147w	4020	0122	Berlin Bibliothek des Bundesarchivs
6102	6102w	4022	0124	Cottbus TU
6148		5998	0125	Köln NRW FHS
6086	6086w	5999	0126	Köln NRW-Zentrale
6086t		5999	0126	Folkwang Test
6049		6999	0127	Frankfurt HEBIS Zentrale
6141		6999	0127	Frankfurt HEBIS Zentrale
6067	6067w	7999	0128	BWZ-Zentrale A-H
6312	6312w	4999	0386	BWZ-Zentrale I-Z
6121		8999	0129	BVB-Zentrale
6154		0974	0130	Giessen-Friedberg FH
6156		4050	0131	Marburg Herder-Inst.
	6157w	4023	0132	BOCHUM STIFTUNG BIBL. D. RUHRGEB
6157		4023	0132	Bochum Stiftung Bibl. d. Ruhrgebiets
6158		4024	0133	Berlin Charite Med. Bibl.
6159		4025	0134	Köln HBZ Elektron. Zeitschr. NRW
6160	6160w	4026	0135	Bochum HS
6161		4027	0136	Bielefeld FH
6162		4028	0137	Aachen FH
6163		4029	0138	Düsseldorf FH
6164		1010	0139	Gelsenkirchen FH
6165		0829	0140	Mönchengladbach FH
6166		0836	0141	Münster FH
6167		0743	0142	Lemgo FH Lippe
6168	6168w	1044	0143	Sankt Augustin FH
6169	6169w	4030	0144	Dortmund Inst. f. Zeitungsforschung
6170		0068	0145	Kiel LB
6171		0354	0146	Hannover Med. HS
6172		8001	0147	EBSCO-Datenbanken
6173	6173w	8002	0148	Weitere MPI
6174	6174w	1997	0149	Weitere Bibliotheken 3
7001-7027		1922	0150	Z39.50
6175		8003	0151	ProQuest-Datenbanken
6177		0051	0152	Detmold Lippische LB
6178		4031	0153	Berlin DIPF
6179	6179w	7998	0154	BADISCHE BIBLIOTHEKEN
6180	6180w	8004	0155	IDA Web
6185	6185w	8005	0157	Österreichische Bibliotheken (Verbund) u. Web Titel u. BST
6248		8005	0157	Österreichische Bibliotheken (Verbund) Lesekennung
6186		4060	0158	Wien ÖNB
6189		0969	0160	Wiesbaden FH
6191	6191w	8897	0161	BVB-Bibl. München u. Oberbayern
6146		0706	0162	München UniBW
6194	6194w	4032	0163	Heidelberg MPI Recht
6195		8006	0164	Archiv 3 (nur Bestand)
6197	6197w	4033	0165	Zeitungen SAA
	6198w	4034	0166	Berlin Diakonisches Werk 
6200		8898	0167	BSB Zeitungsprojekt
6199		8007	0168	ZR Titel Nationallizenzen
6210		8007	0168	ZR Titel Nationallizenzen
6215		8007	0168	NL Lesekennung
6217		8007	0168	Nationallizenzen (Paketpaten)
6201		4035	0169	Hamburg MPI Privatrecht
6202	6202w	4036	0170	München MPI Geistiges Eigentum
6205		8008	0171	Konstanz BSZ Elektronische Zeitschr. SWB
6207		8009	0172	Onlinepakete
6209	6209w	1998	0173	Weitere Bibliotheken 4
6211		1373	0174	Hamburg HafenCity
6212		4037	0175	Marbach Deutsches Literaturarchiv
6213		8010	0176	Schulungskennung
6214		8011	0177	ZR Titel Gale
6216	6216w	6998	0178	Frankfurt/M Senckenb.-Bibl.
6219		4038	0179	Heidelberg Pädagogische HS
6221	6221w	4039	0180	Kunstbibliotheken - Fachverbund
6223		8012	0181	Ev. Landeskirche Wuerttemberg
6252		8012	0181	Ev. Landeskirche Wuerttemberg (nur Bestand)
6224	6224w	4040	0182	Herne Martin-Opitz-Bibliothek
6226	6226w	4041	0184	Weitere Bibliotheken 5
6228		4042	0185	Berlin ZMO
6229		4043	0186	Karlsruhe Naturkunde
6230		4044	0187	Mainz FH (hebis)
	6367w	4044	0187	Mainz FH (SWB)
6231	6231w	7997	0188	STUTTGART LANDESARCH. BAW WEB
6232		4045	0189	Hannover HS
6233		8013	0190	Vifa Kunst
6234		8014	0191	Vifa Altertumswiss.
6235		8015	0192	Vifa Südasien
6237		4061	0194	Evangelische Kirche im Rheinland
6238		8500	0195	OBVSG Wien
6239		8501	0196	Wien UB
6240		8502	0197	Graz UB
6241		8503	0198	Salzburg UB
6242		8504	0199	Innsbruck UB
6243		8505	0200	Klagenfurt UB
6244		8506	0201	Graz TU
6249		8507	0202	Linz Oberösterreichische Landesbibliothek
6255		8508	0203	Linz UB künstl. Indust. Gestalt. 
6245	6245w	4046	0211	Hamburg Bundesamt Seeschiffahrt Hydrog. 
6246	6246w	4047	0212	Wildau Technische Hochschule
6247	6247w	4048	0213	Witzenhausen Archiv deutsche Jugendbewegung
6130	6130w	4049	0214	Göttingen (Bestand in ZDB)
6250		4051	0215	Köln Dts. Zentrum Luft- und Raumfahrt DLR
6251	6251w	4062	0216	Offenbach, M. Deutscher Wetterdienst
6253		4063	0217	Berlin Archiv Akademie d. Künste
6256		4064	0218	Bremerhaven  A.-Wegener-Inst.
6257		4065	0219	Kompetenzz. Lizenzierung (KfL)
6258	6258w	4066	0220	Berlin Stiftung Wiss. U. Politik SWP
6259	6259w	4067	0221	Rom Deutsches Hist. Institut
6260		4068	0222	Zwickau Ratsschulbibliothek
6262	6262w	8896	0223	STAATSARCHIVE BAYERN
	8001	2001	0301	Bremen Kuhnke-Archiv Web
	8002	2002	0302	Weitere Bibliotheken 6
8002t		2002	0302	Weitere Bibliotheken 6 Test
8003		2003	0303	Mainz Martinus-Bibliothek (hebis)
	6368w	2003	0303	Mainz Martinus-Bibliothek (SWB)
	8004	2004	0304	Nürnberg HS Web
8005	8005w	2005	0305	Berlin Univ. d. Künste Web
	8006	2006	0306	Görlitz Oberlaus. Bibl. Wiss.
	8007	2007	0307	München ZI Kunstgeschichte (nicht mehr genutzt)
	8008	2008	0308	Bonn FIZ Bundeswehr
8009	8009w	2009	0309	KARLSRUHE BUNDESVERF. WEBCAT
	8010	2010	0310	Stuttgart BWZ Web
	8011	2011	0311	Weitere Bibliotheken 8
	8012	2012	0312	Berliner Gesamtkatalog Web 1
	8013	2013	0313	Weitere Bibliotheken 7
	8014	2014	0314	Koblenz-Landau UB Web
	8015	2015	0315	Berlin, DHM u, SFVV Web
	8016	2016	0316	Berlin HS Wirtschaft und Recht
	8017	2017	0317	Berliner Gesamtkatalog Web 2
	8018	2018	0318	Berliner Gesamtkatalog Web 3
	8019	2019	0319	Österr. Bibl. nicht Verbund Web
	8020	2020	0320	Weitere Bibliotheken 9
8021	8021w	2021	0321	Verbund Frankfurter MuseumBibl.
	8022	2022	0322	FRANKFURT/M MPI RECHTSGESCH.
	8023	0048	0323	Bibliothek der Hansestadt Lübeck
	6254	0048	0323	Bibliothek der Hansestadt Lübeck
	8024	2023	0324	Weitere Bibliotheken 10
	8025	2024	0325	STUTTGART DUALE HS HORB
	8026	2025	0326	Mannheim Duale HS BAW
	8027	2026	0327	Weitere Bibliothken 11
	8028	2027	0328	Berlin Bibliothek der Freien
	8029	2028	0329	Jülich Forschungszentrum
	8030	2029	0330	Geisenheim Hochschule
	8031	2030	0331	Weitere Bibliotheken 12
	8032	2733	0332	Duisburg Arch.altern.Schrift.
	8333	3333	0333	Webprobezugang (nur Testsystem)
8033	8033w	2031	0334	Frankfurt/M DeutscheBundesbank
8034	8034w	2032	0335	Oberwolfach Math. FI
8035	8035w	2033	0336	Regensburg IOS WGL
8036		2034	0337	Mittweida HS
8037	8037w	2809	0338	Bonn Max Weber Stiftung
8038	8038w	2323	0339	Berlin Archiv der Jugendkulturen
	6263	2035	0340	LIV-Bibliotheken
6264		8509	0341	Forschungsinstitut Brenner-Archiv
6265	6265w	2036	0342	LEIPZIG HS MUSIK UND THEATER
	6266w	2037	0343	DRESDEN INST. HOLZTECHNOLOGIE
6267	6267w	2038	0344	ALICE SALOMON HS BERLIN
6268	6268w	2039	0345	MÜNCHEN DPMA
6269	6269w	2040	0346	POTSDAM ZMSBW
6270	6270w	2041	0347	WEITERE BIBLIOTHEKEN 14
6271	6271w	2042	0348	UMWELTBUNDESAMT
	6272w	2043	0349	Sächsisches Landesamt ULG
6273	6273w	2044	0350	DIE-BIBLIOTHEK
	6274w	2045	0351	FONTANE-ARCHIV
	6275w	2046	0352	MOSES MENDELSSOHN ZENTRUM
	6276w	2047	0353	LEIPZIG STB
	6277w	2048	0354	Leibniz-IGB
	8040w	2049	0355	Berliner Gesamtkatalog Web 4
	6278w	2050	0356	ROSA ARCHIV
	6279w	2051	0357	DOCUMENTA ARCHIV
	6280w	2052	0358	ZENTRUM INF.ARBEIT BUNDESWEHR
	6281w	2053	0359	STADTBIBLIOTHEK CHEMNITZ
6282	6282w	2054	0360	BERLIN SIMPK
	6283w	2055	0361	STIFTUNG HAUS OBERSCHLESIEN
6284	6284w	2056	0362	BM JUSTIZ VERBRAUCHERSCHUTZ
	6285w	0291	0072	SAARBRÜCKEN UULB INST. 1
	6286w	2057	0363	LANDESDIREKTION SACHSEN
6287	6287w	2058	0364	ROBERT SCHUMANN HOCHSCHULE
	6288w	2059	0365	KOBLENZ HS
6289	6289w	2060	0366	KREISKULTUR/ARCHIVAMT BIBERACH
6290	6290w	2061	0367	MFA MIKROFILMARCHIV
	6291w	2062	0368	HELIOS ZENTRALBIBLIOTHEK
6292		2063	0369	KARTENABTEILUNG SBB
	6293w	2064	0370	BUNDESARBEITSGERICHT
	6294w	2065	0371	HELMHOLTZ-ZENTRUM UFZ
	6295w	2066	0372	KUNSTBIBLIOTHEK SKD
	6296w	2067	0373	SPIELZEUGMUSEUM
	6297w	2068	0374	HS KAISERSLAUTERN
6300	6300w	2071	0375	KREISBIBLIOTHEK BODENSEEKREIS
	6302w	2073	0376	ZITTAU/GÖRLITZ HS
	6303w	2074	0377	DRESDEN STADTMUSEUM
	6304w	2075	0378	POTSDAM BRANDENBURG. LHA Bib
	6305w	2076	0379	MÜNSTER DHPol
	6306w	2078	0380	LEIPZIG SAM.HEINICKE-SCHULE
6307		2079	0381	BREGENZ LB
	6308w	2080	0382	STADTARCHIV OBERURSEL
6309		2081	0383	FH DORTMUND
6310	6310w	2082	0384	POTSDAM STULB
	6311w	2083	0385	BERLIN JÜDISCHES MUSEUM
6313	6313w	2084	0387	HAMBURG DESY
6314	6314w	2085	0388	LEIPZIG BVERWG
6315		2086	0389	VECHTA UB
6316		2087	0390	HTWK LEIPZIG
6317		2088	0391	AURICH LANDSCHAFTSB
6318	6318w	2089	0392	BRAUNSCHWEIG
	6319w	2090	0393	KIEL FH
6320	6320w	2091	0394	ZWICKAU HS
	6321w	2092	0395	JENA THÜ. LA LANDWIRTSCHAFT
6322	6322w	2093	0396	EVANGELISCHES MINISTERIUM ERFURT
6323	6323w	2094	0397	ZZF POTSDAM
6324	6324w	2095	0398	BAUTZEN SORBISCHESINST.BIB
6325		2096	0399	HILDESHEIM LANDESRECHNUNGSHOF
6326	6326w	2097	0400	POLIZEI SCHLESWIG-HOLSTEIN
6327		2098	0401	GOTHA FB
	6328w	2099	0402	WEITERE BIBLIOTHEKEN 15
	6329w	3001	0403	STADTARCHIV CELLE
	6330w	3002	0404	FACHBIBLIOTHEK ZOOLOGIE
	6332w	3007	0406	MÜNCHEN ST.ANNA
	6334w	3008	0407	POTSDAM ASTROPHYSIK
	6335w	3009	0408	BERLIN WEIERSTRASS-INST.
	6336w	3010	0409	ERKNER LEIBNIZ-INSTITUT
	6337w	3011	0410	WÜNSDORF LA DENKMALPFLEGE
	6338w	3012	0411	BREMEN STAATSARCHIV
6339		3013	0412	HANNOVER LANDTAG
6340		3014	0413	SACHSEN DENKMALPFLEGE
6341		3015	0414	Stadtarchiv Heilbronn
	6342w	3016	0415	PULHEIM LVR-ADR
	6343w	3018	0416	EINBECK STADTARCHIV
6344		3019	0417	OSTFALIA HOCHSCHULE
	6345w	3020	0418	VVN-VDA-ARCHIV
6346		3021	0419	EBERSWALDE HNE
6347		3022	0420	STUTTGART WIRTSCHAFTSARCHIV
6348	6348w	3023	0421	STADTBIBLIOTHEK DUISBURG
	6349w	3024	0422	PETER-SODANN-BIBLIOTHEK
	6350w	8897	0161	INTERNATIONALE JUGENDBIBLIOTHEK
6351	6351w	3025	0423	J.-A.-SCHMELLER-GESELLSCHAFT
	6352w	3026	0424	BOCHUM EBZ BIBLIOTHEK
	6353w	3027	0425	KULMBACH MRI
	6354w	3028	0426	BERLIN BI RISIKOBEWERTUNG
	6355w	3029	0427	WASHINGTON DHI
	6356w	4069	0428	DRESDEN HYGIENE-MUS
6358	6358w	4070	0429	MOSBACH DUALE HOCHSCHULE
	6359w	4071	0430	WISMAR STADTARCHIV RATSB
6361	6361w	2104	0432	BERLIN MUSEUM FÜR NATURKUNDE
	6362w	2106	0433	ESSEN HIST ARCHIV KRUPP
	6363w	2107	0434	Dresden Mus.f. Völkerkunde
	6364w	2108	0435	Dresden LA f. Archäologie
6365		2109	0436	Hildesheim Stadtarchiv
6369		2110	0437	Eisenach ABEKM
6370	6370w	2111	0438	München Inst.Volkskunde
6371	6371w	2112	0439	Darmstadt IMD
6372	6372w	2113	0440	Riggisberg Abegg-Stiftung
6373	6373w	2114	0441	Tübingen LA Denkmalpflege
	6374w	2115	0442	Nürnberg UTN
6376		2116	0443	Köln Kunst u.MusB
				
				
